"id","name","national_id","position","start_date","end_date","department_id"
"1","Anubha Gupta","1018901231","Professor","2010-01-11","2027-03-11","2"
"2","Anubha Gupta","1018901231","Associate Professor","2007-01-09","2010-01-10","2"
"3","Anubha Gupta","1018901231","Assistant Professor","2004-05-11","2007-01-08","2"
"21","Peter Pan","2130989011","Professor","2007-05-11","NULL","2"
"22","Peter Pan","2130989011","Associate Professor","2004-07-11","2007-05-10","2"
"23","Peter Pan","2130989011","Assistant Professor","2001-05-11","2004-07-10","2"
"33","Nando de Fretas","3130901341","Associate Professor","2023-03-11","2025-04-08","2"
"34","Nando de Fretas","3130901341","Assistant Professor","2020-05-17","2023-03-10","2"
"41","Robert Ludloo","3031201441","Assistant Professor","2017-05-11","NULL","2"
"42","Robert Ludloo","3031201441","Teaching Assistant","2014-05-11","2017-05-10","2"
"51","Vikram Goyal","6541236090","Professor","2016-01-11","NULL","2"
"52","Vikram Goyal","6541236090","Associate Professor","2012-03-20","2016-03-10","2"
"53","Vikram Goyal","6541236090","Assistant Professor","2009-03-12","2012-03-19","2"
"54","Vikram Goyal","6541236090","Teaching Assistant","2006-01-11","2009-03-11","2"
"100","Score Koli","3221114041","Teaching Assistant","2021-01-11","2023-03-20","2"
"101","Schroger Ken","3251113041","Teaching Assistant","2023-01-03","NULL","2"
"102","Schidt Kraus","3112124041","Teaching Assistant","2022-01-11","NULL","2"
"111","AV Subramanium","1340902317","Assistant Professor","2011-05-11","NULL","1"
"121","Risa Sodi","1409239017","Associate Professor","2010-01-11","NULL","1"
"122","Risa Sodi","1409239017","Assistant Professor","2008-04-08","2010-01-10","1"
"131","Wlliam Liu","231456789","Professor","2015-05-12","NULL","1"
"132","Wlliam Liu","231456789","Associate Professor","2009-02-11","2015-05-11","1"
"133","Wlliam Liu","231456789","Assistant Professor","2006-03-22","2009-02-10","1"
"134","Wlliam Liu","231456789","Teaching Assistant","2003-05-11","2006-03-21","1"
"221","Cormen Qiu","1040902317","Professor","2013-03-11","NULL","1"
"225","Ajit Singh","1302632117","Assistant Professor","2012-05-11","2024-06-08","1"
"226","Ajit Singh","1302632117","Teaching Assistant","2009-05-11","2012-05-10","1"
"227","Sam Wilson","3021632117","Professor","2021-05-11","NULL","1"
"228","Sam Wilson","3021632117","Associate Professor","2018-02-10","2021-05-10","1"
"229","Liu Lian","2163202117","Associate Professor","2019-02-10","NULL","1"
"230","Kiu Chi","3163218917","Assistant Professor","2020-12-10","NULL","1"
"300","Milos Simic","9875511222","Teaching Assistant","2022-04-11","NULL","1"
"301","Ritu Jain","1347551122","Teaching Assistant","2022-04-11","2024-12-19","1"
"302","Reera Soi","7309551122","Teaching Assistant","2022-07-10","2023-12-23","1"
"303","Michael Albin","3147551122","Teaching Assistant","2022-04-11","2025-12-12","1"
"304","Tahir Hussain","8569551122","Teaching Assistant","2021-12-10","NULL","1"
"305","Michael Albin","5637551122","Teaching Assistant","2021-04-11","2025-12-12","1"
"401","Vini Joseph","9028291011","Professor","2015-02-12","NULL","3"
"402","Vini Joseph","9028291011","Associate Professor","2015-02-11","2012-09-09","3"
"421","Brandon Fraser","2314561011","Assistant Professor","2013-08-11","NULL","3"
"431","Thomas Cook","7734139012","Associate Professor","2016-10-11","NULL","3"
"432","Thomas Cook","7734139012","Assistant Professor","2013-03-11","2016-10-10","3"
"441","Steven Joe","1567230978","Professor","2019-09-11","NULL","3"
"451","Rick Ponting","6605504403","Assistant Professor","2020-11-11","NULL","3"
"510","Ranold Krose","2314553301","Teaching Assistant","2021-09-11","NULL","3"
"511","Rini Sen","1423553301","Teaching Assistant","2022-06-11","NULL","3"
"512","Casper Jones","4253513301","Teaching Assistant","2021-04-11","NULL","3"
"601","Sussie Smith","1657230918","Professor","2019-01-11","2027-02-18","5"
"602","Sussie Smith","1657230918","Associate Professor","2015-10-11","2019-01-10","5"
"603","Sussie Smith","1657230918","Assistant Professor","2012-01-09","2015-10-10","5"
"621","Badrinath Ho","2010111987","Professor","2016-03-11","NULL","5"
"631","Theiry Kerry","2110118447","Associate Professor","2019-04-11","NULL","5"
"641","Steve Joseph","1314567655","Assistant Professor","2021-06-23","NULL","5"
"642","Steve Joseph","1314567655","Teaching Assistant","2019-03-11","2021-06-23","5"
"651","Rina Anderson","1902341504","Assistant Professor","2020-09-11","2026-07-08","5"
"652","Rina Anderson","1902341504","Teaching Assistant","2017-09-11","2020-09-10","5"
"671","Rosita Klaus","1234015024","Teaching Assistant","2023-01-08","2024-02-02","5"
"672","Ballu Singh","2134105024","Teaching Assistant","2022-12-11","2024-02-02","5"
"673","Rory Ross","4021351024","Teaching Assistant","2022-11-11","2024-02-02","5"
"681","Vin Diesel","1331405624","Professor","2014-01-11","NULL","4"
"682","Vin Diesel","1331405624","Associate Professor","2009-01-11","2014-01-10","4"
"691","Brandon Ford","2131435609","Assistant Professor","2013-01-11","NULL","4"
"703","Thor Cookie","1112125129","Associate Professor","2016-01-11","NULL","4"
"715","Ron Parry","2032145096","Assistant Professor","2020-01-11","NULL","4"
"716","Ron Parry","2032145096","Teaching Assistant","2018-01-09","2020-01-10","4"
"724","Stove Joseph","1010101332","Professor","2019-01-11","2025-02-08","4"
"725","Stove Joseph","1010101332","Associate Professor","2015-12-10","2019-01-10","4"
"726","Stove Joseph","1010101332","Assistant Professor","2011-02-09","2015-12-09","4"
"727","Stove Joseph","1010101332","Teaching Assistant","2008-03-11","2011-02-08","4"
"739","Karen Walter","2314657876","Teaching Assistant","2022-11-11","NULL","4"
"740","Kira Wass","2314623876","Teaching Assistant","2021-09-11","NULL","4"
"741","Sophia Ker","2314437876","Teaching Assistant","2022-08-11","NULL","4"
